Vorname;Nachname;Email;Passwort;Adresse;Ort_ID;Admin
Georg;Schneider;Georg_Schneider6835@fuliss.net;123456;Av. de l'Avant-Poste 17;3;0
Josefine;Jansen;Josefine_Jansen579@acrit.org;123456789;Poststrasse 43;14;0
Dennis;Matthias;Dennis_Matthias9006@bauros.biz;qwerty;Chem. des Gardes-de-Nuit 16;17;0
Alexander;Amsel;Alexander_Amsel7221@supunk.biz;password;1136 Rte de Lathoy;1;0
Aris;Braunwald;Aris_Braunwald6031@zorer.org;1234567;Flurhofstrasse 27;7;0
Karina;Adler;Karina_Adler8609@corti.com;12345678;Rte de Vernier 170;18;0
Katharina;Roth;Katharina_Roth984@mafthy.com;12345;Meigerweg 1;2;0
Manuel;Pohl;Manuel_Pohl3496@ubusive.com;iloveyou;Süsswinkelgasse 5;14;0
Eva;Scherer;Eva_Scherer9091@deons.tech;password1;Scheffelweg 16/a;11;0
Karl;Aschenbrenner;Karl_Aschenbrenner6178@gembat.biz;hottie;Bühlstrasse 35;12;0
Adelheid;Vogt;Adelheid_Vogt3693@typill.biz;ashley;Via S. Giorgio 2;6;0
Manuel;Schiesser;Manuel_Schiesser99@typill.biz;passw0rd;Brandstrasse 8;16;0
Nikolaus;Richter;Nikolaus_Richter6750@womeona.net;football;Rte des Neigles 39;13;0
Emmerich;Salz;Emmerich_Salz8323@infotech44.tech;monkey;Tiefenmattweg 33;9;0
Winnie;Amstutz;Winnie_Amstutz3166@grannar.com;photoshop;Konsumstrasse 10/a;4;0
Heinrich;Nordmann;Heinrich_Nordmann1710@irrepsy.com;michael;Str. di Fulmignano 36;8;0
Greta;Norton;Greta_Norton2339@eirey.tech;ninja;Loretostrasse 13;10;0
Anton;Irwin;Anton_Irwin5595@fuliss.net;trustno1;Römerstrasse 37;5;0
Daria;Simmons;Daria_Simmons3500@mafthy.com;dragon;Rue des Parcs 78;15;0
Levyn;Schneider;lyschneider@icloud.com;EinPasswort1;8 Rue du Dr Palluel;6;1
